image,pattern,psnr
0160x2.png,legendre,22.564
0161x2.png,box,22.83913
0161x2.png,random,23.344366
0161x2.png,legendre,22.117598
0162x2.png,box,19.55816
0162x2.png,random,20.73957
0162x2.png,legendre,21.02495
0163x2.png,box,21.34143
0163x2.png,random,21.624752
0163x2.png,legendre,21.077482
0164x2.png,box,24.400309
0164x2.png,random,25.65588
0164x2.png,legendre,26.6232
0165x2.png,box,21.837093
0165x2.png,random,23.58428
0165x2.png,legendre,21.93628
0166x2.png,box,21.505688
0166x2.png,random,21.063171
0166x2.png,legendre,21.530418
0167x2.png,box,23.51084
0167x2.png,random,22.589344
0167x2.png,legendre,23.168497
0168x2.png,box,23.834755
0168x2.png,random,24.973484
0168x2.png,legendre,24.385342
0169x2.png,box,20.872757
0169x2.png,random,21.545238
0169x2.png,legendre,22.477467
0170x2.png,box,19.901262
0170x2.png,random,21.753399
0170x2.png,legendre,22.130049
0171x2.png,box,22.805212
0171x2.png,random,23.735626
0171x2.png,legendre,23.245008
0172x2.png,box,24.516333
0172x2.png,random,24.864561
0172x2.png,legendre,24.86433
0173x2.png,box,21.301865
0173x2.png,random,22.847515
0173x2.png,legendre,22.964302
0174x2.png,box,21.984491
0174x2.png,random,22.328318
0174x2.png,legendre,22.010538
0175x2.png,box,24.065907
0175x2.png,random,23.51818
0175x2.png,legendre,23.546926
0176x2.png,box,25.235071
0176x2.png,random,26.696323
0176x2.png,legendre,25.834444
0177x2.png,box,22.209476
0177x2.png,random,21.690758
0177x2.png,legendre,21.298811
0178x2.png,box,21.004688
0178x2.png,random,21.128614
0178x2.png,legendre,21.343056
0179x2.png,box,24.205114
0179x2.png,random,24.53265
0179x2.png,legendre,24.665766
0180x2.png,box,22.181652
0180x2.png,random,21.939365
0180x2.png,legendre,22.676975
0181x2.png,box,21.07897
0181x2.png,random,22.311441
0181x2.png,legendre,20.908754
0182x2.png,box,19.40419
0182x2.png,random,21.922771
0182x2.png,legendre,20.772438
0183x2.png,box,23.091839
0183x2.png,random,25.643555
0183x2.png,legendre,23.14281
0184x2.png,box,20.707832
0184x2.png,random,22.017502
0184x2.png,legendre,21.76605
0185x2.png,box,23.885262
0185x2.png,random,24.815666
0185x2.png,legendre,24.845425
0186x2.png,box,24.754656
0186x2.png,random,25.996387
0186x2.png,legendre,25.507168
0187x2.png,box,21.562496
0187x2.png,random,22.24543
0187x2.png,legendre,22.727936
0188x2.png,box,21.869743
0188x2.png,random,21.878756
0188x2.png,legendre,23.031624
0189x2.png,box,20.34335
0189x2.png,random,21.008005
0189x2.png,legendre,21.813618
0190x2.png,box,20.735987
0190x2.png,random,22.532574
0190x2.png,legendre,21.704124
0191x2.png,box,20.677895
0191x2.png,random,24.104786
0191x2.png,legendre,23.435848
0192x2.png,box,19.767645
0192x2.png,random,21.738129
0192x2.png,legendre,21.645596
0193x2.png,box,21.975437
0193x2.png,random,21.234966
0193x2.png,legendre,21.79756
0194x2.png,box,23.100033
0194x2.png,random,23.716099
0194x2.png,legendre,22.481094
0195x2.png,box,22.267694
0195x2.png,random,24.439457
0195x2.png,legendre,24.522455
0196x2.png,box,24.45287
0196x2.png,random,25.035538
0196x2.png,legendre,24.452942
0197x2.png,box,20.904087
0197x2.png,random,22.664118
0197x2.png,legendre,21.662247
0198x2.png,box,22.29625
0198x2.png,random,24.261007
0198x2.png,legendre,24.902348
0199x2.png,box,21.117258
0199x2.png,random,21.768587
0199x2.png,legendre,21.548172
0200x2.png,box,21.734135
0200x2.png,random,22.782097
0200x2.png,legendre,23.28347
0201x2.png,box,22.282122
0201x2.png,random,23.437878
0201x2.png,legendre,22.136078
0202x2.png,box,21.748554
0202x2.png,random,21.96666
0202x2.png,legendre,23.412079
0203x2.png,box,24.439552
0203x2.png,random,24.188236
0203x2.png,legendre,24.89458
0204x2.png,box,22.31419
0204x2.png,random,21.611002
0204x2.png,legendre,22.685501
0205x2.png,box,21.894571
0205x2.png,random,21.873648
0205x2.png,legendre,22.239395
0206x2.png,box,19.554426
0206x2.png,random,22.061222
0206x2.png,legendre,21.100689
0207x2.png,box,21.547787
0207x2.png,random,22.18294
0207x2.png,legendre,21.532648
0208x2.png,box,22.375893
0208x2.png,random,24.490334
0208x2.png,legendre,22.41426
0209x2.png,box,21.551727
0209x2.png,random,21.368164
0209x2.png,legendre,20.87721
0210x2.png,box,20.31578
0210x2.png,random,21.707249
0210x2.png,legendre,21.212194
0211x2.png,box,23.610804
0211x2.png,random,23.787167
0211x2.png,legendre,24.150036
0212x2.png,box,21.49975
0212x2.png,random,23.627985
0212x2.png,legendre,23.477436
0213x2.png,box,23.107197
0213x2.png,random,23.194437
0213x2.png,legendre,23.156898
0214x2.png,box,22.045761
0214x2.png,random,24.039394
0214x2.png,legendre,22.590965
